transaction_id,account_id,amount,currency,counterparty_country,channel,transaction_timestamp
TXN_000001,ACC_000001,2500.00,INR,IN,ONLINE,2026-09-10T09:00:00Z
TXN_000002,ACC_000001,1800.00,INR,IN,NETBANKING,2026-09-11T10:00:00Z
TXN_000003,ACC_000001,15000.00,INR,US,ONLINE,2026-09-12T14:00:00Z
TXN_000004,ACC_000001,3200.00,INR,IN,ATM,2026-09-13T08:00:00Z
TXN_000005,ACC_000002,9200.00,INR,IN,ONLINE,2026-09-14T09:00:00Z
TXN_000006,ACC_000002,9500.00,INR,IN,ONLINE,2026-09-14T14:00:00Z
TXN_000007,ACC_000002,9800.00,INR,IN,ONLINE,2026-09-15T06:00:00Z
TXN_000008,ACC_000002,500.00,INR,IN,ATM,2026-09-16T10:00:00Z
TXN_000009,ACC_000003,4000.00,INR,KP,WIRE_TRANSFER,2026-09-14T11:00:00Z
TXN_000010,ACC_000003,1200.00,INR,IN,ONLINE,2026-09-15T09:00:00Z
TXN_000011,ACC_000003,2200.00,INR,IN,MOBILE,2026-09-16T09:00:00Z
